id,name,registry_status,registry_source,meta_status,meta_source,implemented,implementation_path,notes
409,FILE_WRITE_LINE,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
410,FILE_READ_BLOCK,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
411,FILE_WRITE_BLOCK,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
412,FILE_SEEK,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
413,FILE_TELL,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
414,FILE_SIZE,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
415,FILE_EXISTS,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
416,FILE_DELETE_RESERVED,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
417,FILE_RENAME_RESERVED,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
418,FILE_MKDIR_RESERVED,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
419,FILE_STATUS,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,extension_requires_meta_id_range_patch,UXM_FILE_IO_SERVICES.md,no,,Full UXM_FILE_V1 file service set. Smaller v32 file patch also uses @400..@406 with different frame; use this full version as canonical.
450,CPLX_PRINT_RESERVED,extension_requires_meta_id_range_patch,service_registry_v35.csv,extension_requires_meta_id_range_patch,service_registry_v35.csv,no,,
