id,file,line,snippet
365,uxm/core/runtime/services/runtime_probability_services.bas,166,"Case 385 ' RAND_BINOMIAL: T-2 n, T-1 p_scaled -> T+1 count  # remapped from 385"
366,uxm/core/runtime/services/runtime_probability_services.bas,170,"Case 386 ' RAND_WEIGHTED: T-2 data_start, T-1 count -> T+1 index  # remapped from 386"
367,uxm/core/runtime/services/runtime_probability_services.bas,174,"Case 387 ' RAND_SHUFFLE_DATA: T-2 data_start, T-1 count -> T+1 status  # remapped from 387"
368,uxm/core/runtime/services/runtime_probability_services.bas,178,"Case 388 ' RAND_NORMAL_SCALED: T-2 mean_scaled, T-1 sd_scaled -> T+1 scaled  # remapped from 388"
369,uxm/core/runtime/services/runtime_probability_services.bas,182,Case 389 ' RAND_STATUS  # remapped from 389
390,uxm/core/runtime/services/runtime_numeric_methods_services.bas,189,"Case 420 ' NUM_POLY_EVAL: T-2 polyBase, T-1 x_scaled -> T+1 y_scaled  # remapped from 420"
391,uxm/core/runtime/services/runtime_numeric_methods_services.bas,193,"Case 421 ' NUM_NEWTON: T-4 polyBase,T-3 x0_scaled,T-2 maxIter,T-1 eps_scaled -> T+1 root_scaled  # remapped from 421"
392,uxm/core/runtime/services/runtime_numeric_methods_services.bas,197,"Case 422 ' NUM_BISECTION: T-4 polyBase,T-3 a_scaled,T-2 b_scaled,T-1 maxIter -> T+1 root_scaled  # remapped from 422"
393,uxm/core/runtime/services/runtime_numeric_methods_services.bas,201,"Case 423 ' NUM_TRAPEZOID_POLY: T-4 polyBase,T-3 a_scaled,T-2 b_scaled,T-1 n -> area_scaled  # remapped from 423"
394,uxm/core/runtime/services/runtime_numeric_methods_services.bas,205,Case 424 ' NUM_SIMPSON_POLY  # remapped from 424
395,uxm/core/runtime/services/runtime_numeric_methods_services.bas,209,"Case 425 ' NUM_INTERP_LINEAR: T-4 xBase,T-3 yBase,T-2 count,T-1 x_raw -> y_raw_scaled  # remapped from 425"
396,uxm/core/runtime/services/runtime_numeric_methods_services.bas,213,"Case 426 ' NUM_BEZIER_QUADRATIC: T-4 p0,T-3 p1,T-2 p2,T-1 t_scaled -> result_scaled  # remapped from 426"
397,uxm/core/runtime/services/runtime_numeric_methods_services.bas,217,"Case 427 ' NUM_RK4_LINEAR: T-4 y0,T-3 a_scaled,T-2 dt_scaled,T-1 steps -> y_scaled  # remapped from 427"
400,onceki_src/runtime/services/runtime_file_services.bas,388,Case 400
400,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,388,Case 400
400,uxm/core/runtime/services/runtime_file_services.bas,434,Case 400
401,onceki_src/runtime/services/runtime_file_services.bas,390,Case 401
401,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,390,Case 401
401,uxm/core/runtime/services/runtime_file_services.bas,436,Case 401
402,onceki_src/runtime/services/runtime_file_services.bas,392,Case 402
402,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,392,Case 402
402,uxm/core/runtime/services/runtime_file_services.bas,438,Case 402
403,onceki_src/runtime/services/runtime_file_services.bas,394,Case 403
403,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,394,Case 403
403,uxm/core/runtime/services/runtime_file_services.bas,440,Case 403
404,onceki_src/runtime/services/runtime_file_services.bas,396,Case 404
404,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,396,Case 404
404,uxm/core/runtime/services/runtime_file_services.bas,442,Case 404
405,onceki_src/runtime/services/runtime_file_services.bas,398,Case 405
405,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,398,Case 405
405,uxm/core/runtime/services/runtime_file_services.bas,444,Case 405
406,onceki_src/runtime/services/runtime_file_services.bas,400,Case 406
406,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,400,Case 406
406,uxm/core/runtime/services/runtime_file_services.bas,446,Case 406
407,onceki_src/runtime/services/runtime_file_services.bas,402,Case 407
407,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,402,Case 407
407,uxm/core/runtime/services/runtime_file_services.bas,448,Case 407
408,onceki_src/runtime/services/runtime_file_services.bas,404,Case 408
408,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,404,Case 408
408,uxm/core/runtime/services/runtime_file_services.bas,450,Case 408
409,onceki_src/runtime/services/runtime_file_services.bas,406,Case 409
409,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,406,Case 409
409,uxm/core/runtime/services/runtime_file_services.bas,452,Case 409
410,uxm/core/runtime/services/runtime_file_services.bas,454,Case 410
411,uxm/core/runtime/services/runtime_file_services.bas,456,Case 411
412,uxm/core/runtime/services/runtime_file_services.bas,458,Case 412
413,onceki_src/runtime/services/runtime_file_services.bas,408,Case 413
413,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,408,Case 413
413,uxm/core/runtime/services/runtime_file_services.bas,460,Case 413
414,onceki_src/runtime/services/runtime_file_services.bas,410,Case 414
414,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,410,Case 414
414,uxm/core/runtime/services/runtime_file_services.bas,462,Case 414
415,onceki_src/runtime/services/runtime_file_services.bas,412,Case 415
415,onceki_src/v17/uxm__core__runtime__services__runtime_file_services.bas,412,Case 415
415,uxm/core/runtime/services/runtime_file_services.bas,464,Case 415
416,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,7,"Case 416,417,418,419"
416,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,258,Case 416 ' delete: T-1 pathZ -> T+1 1/0
417,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,7,"Case 416,417,418,419"
417,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,262,"Case 417 ' rename: T-2 oldPathZ, T-1 newPathZ"
418,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,7,"Case 416,417,418,419"
418,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,266,Case 418 ' mkdir: T-1 pathZ
419,uxm/core/runtime/hooks/runtime_hook_dispatch_ext.bas,7,"Case 416,417,418,419"
419,uxm/core/runtime/services/runtime_real_ext_services_v18.bas,270,Case 419 ' exists: T-1 pathZ -> 1/0
